,open,high,low,close,volume
20200316,66500,67900,64000,67400,35757
20200313,60500,68300,59100,68300,54280
20200312,71600,71600,65400,66500,45667
20200311,71500,72500,69200,71400,23409
20200310,73800,74500,71600,72000,28247
20200309,73400,73700,71400,73700,37532
20200306,74900,75700,73500,74600,31603
20200305,74000,76200,73800,75600,43504
20200304,74100,74800,73500,74200,33736
20200303,74000,74900,73500,74100,33912
20200302,75600,75600,72600,74000,33015
20200228,75500,75800,73500,74200,44192
20200227,75000,77200,74600,75500,34036
20200226,74700,75900,74000,75600,41540
20200225,75100,76100,73500,74800,41483
20200224,77200,77400,74200,74700,31338
20200221,78600,79400,76900,76900,25477
20200220,80600,81900,78500,79500,28716
20200219,81400,82000,80500,81000,37266
20200218,80400,82000,80400,80700,27447
20200217,81100,81700,80600,81000,18569
20200214,80600,82100,80500,81300,33554
20200213,81200,82400,80400,81300,34067
20200212,81500,82000,80600,81400,29674
20200211,79300,82600,78800,81700,99481
20200210,76400,77400,76000,77200,15372
20200207,76800,77900,76400,77100,18319
20200206,76500,77500,76300,76800,38280
20200205,74600,76100,74200,75800,28566
20200204,75600,75700,74300,74600,32439
20200203,76900,78700,75100,75400,102249
20200131,75000,76200,74700,75100,16499
20200130,75800,77000,74800,75300,21328
20200129,75500,76400,74700,75900,20664
20200128,76300,77500,75000,75700,59414
20200123,76800,76800,76000,76300,16488
20200122,77100,77100,76400,77000,16012
20200121,76100,77100,76100,76400,11991
20200120,76800,77300,76200,76300,13034
20200117,76700,77200,76600,76700,17423
20200116,77100,77400,76700,76900,16896
20200115,76900,78100,76900,77400,21303
20200114,77100,77600,76900,77200,18476
20200113,76700,77900,76700,77100,21295
20200110,76800,77900,76500,77300,24442
20200109,76900,77700,76400,77600,47528
20200108,78200,78300,75800,76700,36935
20200107,79200,79400,77700,79100,21897
20200106,79500,80600,77600,78300,31981
20200103,80200,80800,79600,80600,21575
20200102,80600,80900,79400,79800,19211
20191230,80200,80500,79700,80500,12480
20191227,79900,80400,79300,80200,17746
20191226,81100,81100,80200,81000,16090
20191224,80700,81400,80600,81000,20884
20191223,81200,81200,80200,81000,18974
20191220,81200,81200,80200,80700,13429
20191219,79600,81200,79400,80600,34093
20191218,79500,80200,78800,79100,22473
20191217,79600,79900,79000,79500,31260
20191216,80100,80100,79700,79800,20897
20191213,80000,81300,79600,79700,44711
20191212,80400,80600,79600,80000,61253
20191211,80200,80500,79700,80200,18290
20191210,79900,80700,78800,80200,25870
