,open,high,low,close,volume
20191104,396308,396802,392849,396308,88345
20191101,392849,393838,385931,391367,83707
20191031,395320,398285,392355,393838,112287
20191030,396308,397297,383955,392355,140709
20191029,392849,397297,385437,395814,218299
20191028,382966,393343,381978,393343,205735
20191025,374566,382966,371601,379013,170737
20191024,373577,375554,363694,373577,223454
20191023,372589,376048,360730,368142,572071
20191022,337010,345411,337010,339975,91419
20191021,339481,339975,334540,335528,51816
20191018,340964,345411,337999,339975,64408
20191017,338987,347882,337999,340964,223849
20191016,323668,335034,323174,335034,172258
20191015,325151,325645,321692,322186,33237
20191014,323668,326139,320703,325645,83791
20191011,325151,325151,320209,321198,58011
20191010,322186,325151,317738,322186,66702
20191008,322186,326139,317738,325151,107933
20191007,320209,324162,318233,322186,71390
20191004,316750,321198,315268,316750,79452
20191002,313785,319715,309832,314279,83095
20191001,304396,319221,301432,319221,106286
20190930,305879,309338,297478,303902,87628
20190927,316256,316256,307361,307855,76911
20190926,314279,320703,312797,313785,73835
20190925,314774,320209,313291,314279,85518
20190924,310326,326139,307361,314774,215401
20190923,334045,334045,310326,313291,287983
20190920,327127,337999,327127,334540,238345
20190919,312303,331081,312303,325151,276912
20190918,313785,318727,309338,312303,148056
20190917,295502,312797,295008,311315,346913
20190916,291054,293031,285125,290066,82313
20190911,282160,289572,280183,289572,152434
20190910,286607,286607,277218,280183,114458
20190909,274253,279195,274253,276724,52830
20190906,276724,278206,272771,274253,64515
20190905,276724,279195,274747,276230,85188
20190904,266841,274747,265853,274747,119730
20190903,263876,269806,262888,268818,94410
20190902,264370,264370,257946,263876,134057
20190830,271288,277712,263876,265853,319175
20190829,286607,300443,258440,269312,805520
20190828,272277,284630,271288,283148,217042
20190827,271288,274747,268323,272771,110711
20190826,275242,277712,266841,268323,93143
20190823,274747,282654,274747,280183,102020
20190822,281666,282160,276724,278206,58989
20190821,280183,284630,278701,280183,53841
20190820,281171,283148,274747,280183,75671
20190819,286607,288089,278701,280183,65978
20190816,282654,288089,281666,284136,100158
20190814,287595,292043,283642,286607,120208
20190813,281666,296490,280677,282160,286866
20190812,268323,289572,268323,285619,243088
20190809,248557,271288,248557,266347,254311
20190808,250040,250040,242628,246581,171685
20190807,251522,256958,246087,246581,147734
20190806,247569,260911,238674,250040,232826
20190805,270794,272771,254981,255476,248980
20190802,270794,276724,267335,275242,93953
20190801,276230,278206,273759,274747,53957
20190731,275242,276724,266841,276724,107539
20190730,269312,278701,269312,273265,83761
20190729,269806,274747,267829,269806,84110
20190726,263876,273759,262888,272277,162340
20190725,276724,277218,266841,267335,182884
20190724,285125,285125,277712,277712,213947
20190723,286607,288584,285125,285619,64392
20190722,294513,295008,285125,286607,130315
20190719,282160,285125,281171,284136,138648
20190718,283148,286113,281171,282654,81285
20190717,289078,289572,281171,283642,177514
20190716,291549,295502,290560,292043,61160
20190715,297478,298467,293031,293031,53474
20190712,297478,297972,293525,297972,51103
20190711,295502,299455,294513,297972,69118
20190710,300443,300443,292537,295996,114450
20190709,313785,315762,297972,299949,99590
20190708,310326,316256,305879,312797,69415
20190705,308844,311809,308350,310326,34586
20190704,314774,316256,306373,309832,63164
20190703,320209,323668,312797,314279,67107
20190702,316750,321198,314774,320209,46708
20190701,316750,319221,315268,317244,39690
20190628,313291,318233,311809,316256,59944
20190627,309832,315268,308350,311315,57166
20190626,308844,314279,308844,309832,41218
20190625,316256,319221,308350,309338,66727
20190624,310820,318233,310820,317738,62260
20190621,313785,314279,310820,313291,58127
20190620,311809,313785,311315,313291,47058
20190619,312303,314279,309338,311315,52068
20190618,305879,312303,305879,310326,69649
20190617,307855,310326,304396,305385,37424
20190614,312797,312797,308350,309338,68685
